product_id,product_name,sale_price,compare_price,price_text,primary_image_url,product_page_url,sizes,type,color
luxury-6-piece-cotton-pajama-set-rainbow-koala-edition,Luxury 6-Piece Cotton Pajama Set – Rainbow & Koala Edition,1950,2250,Sale Tk 1950 (was Tk 2250),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/SweetDreamsCollection33.png?v=1770378021,https://shonababu.store/products/luxury-6-piece-cotton-pajama-set-rainbow-koala-edition,6-9-months; 9-12-months; 12-18-months; 18-24-months; 24-30-months; 30-36-months,Pajama Sets,animal; pink; rainbow
premium-cotton-3-pack-sweet-dreams-pajama-set,Premium Cotton 3-Pack Sweet Dreams Pajama Set,1950,2250,Sale Tk 1950 (was Tk 2250),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/SweetDreamsCollection22.png?v=1770378066,https://shonababu.store/products/premium-cotton-3-pack-sweet-dreams-pajama-set,6-9-months; 9-12-months; 12-18-months; 18-24-months; 24-30-months; 30-36-months,Pajama Sets,floral; animal
dreamy-koala-cloud-organic-cotton-2-pack-pajama-set,Dreamy Koala & Cloud Organic Cotton 2-Pack Pajama Set,1350,1500,Sale Tk 1350 (was Tk 1500),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/SweetDreamsDuo1.png?v=1770378108,https://shonababu.store/products/dreamy-koala-cloud-organic-cotton-2-pack-pajama-set,6-9-months; 9-12-months; 12-18-months; 18-24-months; 24-30-months; 30-36-months,Pajama Sets,animal
safari-friends-organic-cotton-2-pack-pajama-set,Safari Friends Organic Cotton 2-Pack Pajama Set,1399,1500,Sale Tk 1399 (was Tk 1500),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/EarthySafariDuo1.png?v=1770378146,https://shonababu.store/products/safari-friends-organic-cotton-2-pack-pajama-set,6-9-months; 9-12-months; 12-18-months; 18-24-months; 24-30-months; 30-36-months,Pajama Sets,animal
rainbow-floral-organic-cotton-2-pack-pajama-set,Rainbow & Floral Organic Cotton 2-Pack Pajama Set,1300,1500,Sale Tk 1300 (was Tk 1500),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/CalmPastelHarmony1.png?v=1770378194,https://shonababu.store/products/rainbow-floral-organic-cotton-2-pack-pajama-set,6-9-months; 9-12-months; 12-18-months; 18-24-months; 24-30-months; 30-36-months,Pajama Sets,floral
organic-botanicals-baby-sleepwear-set-cotton-200-gsm-premium-2-piece-pajama-set,Organic Botanicals Baby Sleepwear Set – Premium 2-Piece Pajama set,750,990,Sale Tk 750 (was Tk 990),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/4_c1103cbe-beea-47fb-ae73-c3e4ab90bc52.png?v=1768419246,https://shonababu.store/products/organic-botanicals-baby-sleepwear-set-cotton-200-gsm-premium-2-piece-pajama-set,6-9-months; 9-12-months; 12-18-months; 18-24-months; 2-3-years,Baby Sleepwear,floral
pink-koala-cotton-baby-pajama-set-soft-skin-friendly,Pink Koala Cotton Baby Pajama Set – Soft & Skin-Friendly,750,990,Sale Tk 750 (was Tk 990),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/AnimalPrint.png?v=1768419159,https://shonababu.store/products/pink-koala-cotton-baby-pajama-set-soft-skin-friendly,6-9-months; 9-12-months; 12-18-months; 18-24-months; 2-3-years,Baby Pajamas,animal
cloud-stars-baby-pajama-set-ultra-soft-cotton-sleepwear,Cloud & Stars Baby Pajama Set – Ultra-Soft Cotton Sleepwear,750,990,Sale Tk 750 (was Tk 990),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/5_cbfd4e16-848e-40ea-bedc-b6b104b6028f.png?v=1768419178,https://shonababu.store/products/cloud-stars-baby-pajama-set-ultra-soft-cotton-sleepwear,6-9-months; 9-12-months; 12-18-months; 18-24-months; 2-3-years,Baby Pajamas,white
premium-cotton-giraffe-baby-lounge-set-soft-interlock-pjs,Premium Cotton Giraffe Baby Lounge Set – Soft Interlock PJs,750,990,Sale Tk 750 (was Tk 990),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/1_86bd107e-99e1-4de0-a4e0-e55842aed796.png?v=1768419158,https://shonababu.store/products/premium-cotton-giraffe-baby-lounge-set-soft-interlock-pjs,6-9-months; 9-12-months; 12-18-months; 18-24-months; 2-3-years,Baby Lounge Set,animal; pink
premium-cotton-elephant-baby-lounge-set-soft-interlock-pjs,Premium Cotton Elephant Baby Lounge Set – Soft Interlock PJs,750,990,Sale Tk 750 (was Tk 990),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/TinyAnimalFriends.png?v=1768419154,https://shonababu.store/products/premium-cotton-elephant-baby-lounge-set-soft-interlock-pjs,6-9-months; 9-12-months; 12-18-months; 18-24-months,Baby Lounge Set,animal
premium-cotton-rainbow-baby-set-soft-interlock-cotton-pjs,Premium Cotton Rainbow Baby Set – Soft Interlock Cotton PJs,750,990,Sale Tk 750 (was Tk 990),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/6_bf2b927d-4ba3-479d-801f-82cefce9ef0a.png?v=1770378194,https://shonababu.store/products/premium-cotton-rainbow-baby-set-soft-interlock-cotton-pjs,6-9-months; 9-12-months; 12-18-months; 18-24-months; 24-30-months; 30-36-months,Baby Lounge Set,white; multicolor; rainbow
animal-parade-organic-cotton-kemono-bodysuit-soft-skin-safe,Animal Parade Organic Cotton Kimono Bodysuit – Soft & Skin-Safe,499,799,Sale Tk 499 (was Tk 799),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/11.png?v=1768419153,https://shonababu.store/products/animal-parade-organic-cotton-kemono-bodysuit-soft-skin-safe,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Bodysuit,animal
☁️-cloud-hug-wrap-bodysuit-☀️,☁️ Cloud Hug Wrap Bodysuit ☀️,499,799,Sale Tk 499 (was Tk 799),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/cloud_7e531d44-972a-4f1a-b9fd-33a0083d3adc.png?v=1768419149,https://shonababu.store/products/☁️-cloud-hug-wrap-bodysuit-☀️,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,white
dreamy-balloon-teddy-wrap-bodysuit-✨,Dreamy Balloon & Teddy Wrap Bodysuit ✨,499,799,Sale Tk 499 (was Tk 799),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/ballon_a4b14788-7098-42a9-baed-018da829032d.png?v=1768419148,https://shonababu.store/products/dreamy-balloon-teddy-wrap-bodysuit-✨,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,animal
dreamy-moon-clouds-organic-wrap-bodysuit-🌙✨,Dreamy Moon & Clouds Organic Wrap Bodysuit 🌙✨,499,799,Sale Tk 499 (was Tk 799),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/moon_5214ff84-7f99-4c83-828e-0a3b80fd5257.png?v=1768419147,https://shonababu.store/products/dreamy-moon-clouds-organic-wrap-bodysuit-🌙✨,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,rainbow
forest-friends-organic-wrap-bodysuit-✨,🦊 Forest Friends Organic Wrap Bodysuit ✨,499,799,Sale Tk 499 (was Tk 799),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/forest_7c2daab1-fa07-4c4f-b58d-e6f498802a8a.png?v=1768419145,https://shonababu.store/products/forest-friends-organic-wrap-bodysuit-✨,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,green
🐰-gentle-bunny-organic-wrap-bodysuit-✨,🐰 Gentle Bunny Organic Wrap Bodysuit ✨,499,799,Sale Tk 499 (was Tk 799),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/bunnypink_69f1d16f-42ee-41b9-8b87-090e19db3716.png?v=1768419144,https://shonababu.store/products/🐰-gentle-bunny-organic-wrap-bodysuit-✨,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,pink
🍒-little-cherry-organic-wrap-bodysuit,🍒 Little Cherry Organic Wrap Bodysuit,499,799,Sale Tk 499 (was Tk 799),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/4_7f78cac3-92a7-409a-bef0-89a33214e2ee.png?v=1768419144,https://shonababu.store/products/🍒-little-cherry-organic-wrap-bodysuit,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,geometric
🦁-little-lion-elephant-organic-wrap-bodysuit-✨,🦁 Little Lion & Elephant Organic Wrap Bodysuit ✨,499,799,Sale Tk 499 (was Tk 799),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/LittleLion_Elephant_defc47de-48ef-4c0e-bc9e-730da12b1036.png?v=1768419143,https://shonababu.store/products/🦁-little-lion-elephant-organic-wrap-bodysuit-✨,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,animal
little-safari-organic-wrap-bodysuit-✨,🦒 Little Safari Organic Wrap Bodysuit ✨,499,799,Sale Tk 499 (was Tk 799),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/safari_cf7793cc-b8d5-439d-9900-47935e0c2761.png?v=1768419140,https://shonababu.store/products/little-safari-organic-wrap-bodysuit-✨,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,animal
🐅-little-tiger-organic-wrap-bodysuit-soft-pink-✨,🐅 Little Tiger Organic Wrap Bodysuit (Soft Pink) ✨,499,799,Sale Tk 499 (was Tk 799),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/11_748135fa-fb56-48ab-9be3-efdf86e790cc.png?v=1770119990,https://shonababu.store/products/🐅-little-tiger-organic-wrap-bodysuit-soft-pink-✨,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,animal
⚓-luxe-stripes-timeless-classic-organic-wrap-bodysuit-✨,"⚓ Luxe Stripes — ""Timeless Classic"" Organic Wrap Bodysuit ✨",499,799,Sale Tk 499 (was Tk 799),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/timeless_7d3cc265-39f0-4946-a973-c93427d43b74.png?v=1768419138,https://shonababu.store/products/⚓-luxe-stripes-timeless-classic-organic-wrap-bodysuit-✨,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,striped
🐼-panda-parade-organic-wrap-bodysuit-✨,🐼 Panda Parade Organic Wrap Bodysuit ✨,499,899,Sale Tk 499 (was Tk 899),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/panda_3c969b49-edfa-4c47-b199-6c43b07f96bd.png?v=1768419136,https://shonababu.store/products/🐼-panda-parade-organic-wrap-bodysuit-✨,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,animal
🌸-pastel-floral-bunny-organic-wrap-bodysuit-✨,🌸 Pastel Floral Bunny Organic Wrap Bodysuit ✨,499,799,Sale Tk 499 (was Tk 799),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/bunny_e3e4d32b-acab-42eb-9aed-55abefdb58fd.png?v=1768419135,https://shonababu.store/products/🌸-pastel-floral-bunny-organic-wrap-bodysuit-✨,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,floral
designer-baby-organic-wrap-bodysuit-bears-hearts-✨,Designer Baby Organic Wrap Bodysuit (Bears & Hearts) ✨,550,899,Sale Tk 550 (was Tk 899),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/designer_d1f8a9a4-f395-40dd-bb63-6c4fc09e748a.png?v=1768419133,https://shonababu.store/products/designer-baby-organic-wrap-bodysuit-bears-hearts-✨,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,animal
🌼-gentle-blooms-organic-wrap-bodysuit-✨,🌼 Gentle Blooms Organic Wrap Bodysuit ✨,499,799,Sale Tk 499 (was Tk 799),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/flower_4f94610b-281f-4a59-b7f8-977f76c2922d.png?v=1768419132,https://shonababu.store/products/🌼-gentle-blooms-organic-wrap-bodysuit-✨,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,floral
🌙-tiny-starscape-organic-wrap-bodysuit-navy-✨,🌙 Tiny Starscape Organic Wrap Bodysuit (Navy) ✨,499,799,Sale Tk 499 (was Tk 799),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/tiny_7c82f23c-9499-4ed4-b800-97cbf8729808.png?v=1768419131,https://shonababu.store/products/🌙-tiny-starscape-organic-wrap-bodysuit-navy-✨,,Baby Clothing,
celestial-dream-pack-organic-cotton-kimono-bodysuits-set-of-3,Celestial Dream Pack: Organic Cotton Kimono Bodysuits (Set of 3),1500,,Tk 1500,https://cdn.shopify.com/s/files/1/0815/3061/8096/files/CelestialDreamPack.png?v=1768419131,https://shonababu.store/products/celestial-dream-pack-organic-cotton-kimono-bodysuits-set-of-3,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,striped
earthy-forest-mix-organic-cotton-kimono-bodysuits-set-of-3,Earthy Forest Mix : Organic Cotton Kimono Bodysuits (Set of 3),1399,1500,Sale Tk 1399 (was Tk 1500),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/EarthyForestMix.png?v=1768419130,https://shonababu.store/products/earthy-forest-mix-organic-cotton-kimono-bodysuits-set-of-3,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,animal
little-gentleman-set-organic-cotton-kimono-bodysuits-set-of-3,Little Gentleman Set: Organic Cotton Kimono Bodysuits (Set of 3),1399,1500,Sale Tk 1399 (was Tk 1500),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/LittleGentlemanSet.png?v=1768419129,https://shonababu.store/products/little-gentleman-set-organic-cotton-kimono-bodysuits-set-of-3,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,striped
newborn-comfort-collection-organic-cotton-kimono-baby-romper-keeper-set-of-3,Newborn Comfort Collection : Organic Cotton Kimono Baby Romper (Keeper) (Set of 3),1399,1500,Sale Tk 1399 (was Tk 1500),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/NewbornComfortCollection.png?v=1768419127,https://shonababu.store/products/newborn-comfort-collection-organic-cotton-kimono-baby-romper-keeper-set-of-3,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,animal
premium-baby-bundles-organic-interlock-cotton-baby-romper-keeper-set-of-3,Premium Baby Bundles : Organic Interlock Cotton Baby Romper (Keeper) (Set of 3),1399,1500,Sale Tk 1399 (was Tk 1500),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/Premiumbabybundles.png?v=1770218642,https://shonababu.store/products/premium-baby-bundles-organic-interlock-cotton-baby-romper-keeper-set-of-3,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,animal
sweetest-baby-collection-organic-cotton-kimono-baby-romper-keeper-set-of-3,Sweetest Baby Collection : Organic Cotton Kimono Baby Romper (Keeper) (Set of 3),1399,1500,Sale Tk 1399 (was Tk 1500),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/SweetestBabyCollection.png?v=1768419124,https://shonababu.store/products/sweetest-baby-collection-organic-cotton-kimono-baby-romper-keeper-set-of-3,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,floral
the-adorable-character-trio-organic-cotton-kimono-baby-romper-keeper-set-of-3,The Adorable Character Trio : Organic Cotton Kimono Baby Romper (Keeper) (Set of 3),1399,1500,Sale Tk 1399 (was Tk 1500),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/TheAdorableCharacterTrio.png?v=1768419123,https://shonababu.store/products/the-adorable-character-trio-organic-cotton-kimono-baby-romper-keeper-set-of-3,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,animal
the-baby-zoo-adventure-organic-cotton-unisex-kimono-baby-romper-keeper-set-of-3,The Baby Zoo Adventure : Organic Cotton Unisex Kimono Baby Romper (Keeper) (Set of 3),1399,1500,Sale Tk 1399 (was Tk 1500),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/TheBabyZooAdventure.png?v=1768419121,https://shonababu.store/products/the-baby-zoo-adventure-organic-cotton-unisex-kimono-baby-romper-keeper-set-of-3,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,animal
the-chic-gifting-package-organic-cotton-premium-kimono-baby-romper-keeper-set-of-3,The Chic Gifting Package : Organic Cotton Premium Kimono Baby Romper (Keeper) (Set of 3),1399,1500,Sale Tk 1399 (was Tk 1500),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/TheChicGiftingPackage.png?v=1768419120,https://shonababu.store/products/the-chic-gifting-package-organic-cotton-premium-kimono-baby-romper-keeper-set-of-3,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,striped
the-essential-premium-trio-organic-cotton-kimono-baby-romper-keeper-set-of-3,The Essential Premium Trio : Organic Cotton Kimono Baby Romper (Keeper) (Set of 3),1500,,Tk 1500,https://cdn.shopify.com/s/files/1/0815/3061/8096/files/TheEssentialPremiumTrio.png?v=1768419118,https://shonababu.store/products/the-essential-premium-trio-organic-cotton-kimono-baby-romper-keeper-set-of-3,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,striped
vibrant-playful-set-organic-cotton-kimono-baby-romper-keeper-set-of-3,Vibrant & Playful Set : Organic Cotton Kimono Baby Romper (Keeper) (Set of 3),1399,1500,Sale Tk 1399 (was Tk 1500),https://cdn.shopify.com/s/files/1/0815/3061/8096/files/Vibrant_PlayfulSet.png?v=1768419117,https://shonababu.store/products/vibrant-playful-set-organic-cotton-kimono-baby-romper-keeper-set-of-3,0-3-months; 3-6-months; 6-9-months; 9-12-months,Baby Clothing,floral
